ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"188.132.146.23","elite","AS207474","TR","Hatnet Bilgi iletisim Teknolojileri ve Ticaret Limited Sirketi","182","Hatnet Bilgi iletisim Teknolojileri ve Ticaret Limited Sirketi","1080","socks4","4394","1","2023-08-15T10:42:07.520Z","94","3208","3399"
"109.86.228.165","elite","AS13188","UA","Triolan","83","N/A","5678","socks4","4495","2","2023-08-15T10:42:07.519Z","97","3278","3366"
"170.254.255.239","elite","AS52584","BR","Connect Fibra","294","Connect Fibra","45816","socks4","4107","1","2023-08-15T10:41:54.507Z","99","3338","3387"
"117.241.134.235","elite","AS9829","IN","BSNL Internet","195","N/A","5678","socks4","4499","2","2023-08-15T10:41:54.506Z","97","3274","3382"
"208.113.220.98","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","36869","socks5","5099","1","2023-08-15T10:41:54.503Z","100","3363","3369"
"93.171.224.57","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","92","PE TV and Radio Company Kentavr-TV","4153","socks4","4795","1","2023-08-15T10:41:54.505Z","99","3418","3444"
"114.7.161.18","elite","AS4761","ID","PT. INDOSAT Tbk","190","PT. INDOSAT Tbk","1080","socks4","4606","1","2023-08-15T10:41:54.500Z","97","3342","3432"
"186.236.8.19","elite","AS28146","BR","Mhnet Telecom","297","Mhnet Telecom","4145","socks4","4691","82","2023-08-15T10:41:54.507Z","94","3168","3359"
"94.139.169.250","elite","AS206065","IR","Farabord Dadeh Haye Iranian Co.","147","WiMAX","5678","socks4","4201","1","2023-08-15T10:41:54.503Z","98","3338","3390"
"149.28.44.246","elite","AS20473","US","The Constant Company","86","Vultr Holdings, LLC","10041","socks4","4603","1","2023-08-15T10:41:54.505Z","62","2042","3319"
"139.255.41.122","elite","AS9905","ID","PT. LINKNET","200","N/A","2135","socks5","5690","1","2023-08-15T10:41:42.205Z","95","3227","3384"
"45.7.177.184","elite","AS266626","BR","Litoral Telecom","186","Litoral Telecom","39867","socks4","718","1","2023-08-15T10:41:42.206Z","98","3340","3424"
"202.91.186.65","elite","AS4808","CN","China Unicom Beijing Province Network","264","Beijing Sunway Xunteng Technology Development Co., Ltd","4145","socks4","5105","1","2023-08-15T10:41:42.205Z","83","2853","3435"
"177.38.5.240","elite","AS52964","BR","F?BIO MENDES DIAS LTDA ME","216","FÁBIO MENDES DIAS LTDA ME","4153","socks4","4586","1","2023-08-15T10:41:42.206Z","94","3188","3386"
"213.6.131.62","elite","AS12975","PS","DSL -PALTEL","73","N/A","5678","socks4","4497","1","2023-08-15T10:41:42.313Z","95","3237","3413"
"39.108.102.73","elite","AS37963","CN","Hangzhou Alibaba Advertising Co","286","Aliyun Computing Co., LTD","5100","socks5","4793","86","2023-08-15T10:41:42.207Z","79","2650","3366"
"102.66.237.53","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","206","Herotel","5678","socks4","1695","1","2023-08-15T10:41:42.203Z","65","2210","3382"
"117.24.80.192","elite","AS4134","CN","Chinanet","210","Chinanet FJ","2829","socks5","4504","1","2023-08-15T10:41:42.204Z","66","2191","3319"
"118.97.235.36","elite","AS7713","ID","PT. TELKOM INDONESIA","221","N/A","4145","socks4","1305","1","2023-08-15T10:41:42.204Z","99","3361","3381"
"112.105.12.160","elite","AS18049","TW","TINP","269","Digital United Inc.","1111","socks5","2790","1","2023-08-15T10:41:30.340Z","84","2832","3384"
"106.110.215.121","elite","AS4134","CN","Chinanet","244","Chinanet GD","2829","socks4","4706","1","2023-08-15T10:41:30.341Z","52","1748","3357"
"41.225.229.55","elite","AS37671","TN","3S INF","62","ATI - Agence Tunisienne Internet","1080","socks4","1790","64","2023-08-15T10:41:30.340Z","99","3337","3382"
"200.81.144.1","elite","AS270934","BR","Silva de Sá Informática LTDA","195","Silva de Sá Informática LTDA","1080","socks4","4399","2","2023-08-15T10:41:30.400Z","100","3380","3389"
"45.233.1.1","elite","AS267303","BR","Centro Oeste Provedor","233","Centro Oeste Provedor","4153","socks4","4694","2","2023-08-15T10:41:30.339Z","100","3429","3446"
"104.129.198.54","elite","AS22616","US","ZSCALER, INC.","198","Zscaler, Inc.","10605","socks4","3906","1","2023-08-15T10:41:30.337Z","97","3316","3432"
"113.11.131.146","elite","AS9326","ID","CENTRIN","164","N/A","5678","socks4","4512","3","2023-08-15T10:41:18.111Z","100","3399","3415"
"119.148.45.185","elite","AS23923","BD","Agni Systems Limited","166","Agni Systems Ltd.","1088","socks4","5010","1","2023-08-15T10:41:18.112Z","93","3109","3350"
"103.142.110.202","elite","AS38758","ID","PT. HIPERNET INDODATA","181","PT. HIPERMEDIA TEKNOLOGI INDONESIA","5678","socks4","2194","1","2023-08-15T10:41:18.107Z","72","2413","3366"
"58.35.206.18","elite","AS4812","CN","China Telecom (Group)","205","Chinanet SH","4145","socks4","3392","6","2023-08-15T10:41:18.108Z","67","2258","3354"
"123.146.186.38","elite","AS4837","CN","CNC Group CHINA169 Chongqing Province Network","286","N/A","1080","socks5","5108","1","2023-08-15T10:41:18.112Z","60","2050","3426"
"103.55.104.209","elite","AS133989","IN","SBR Telecom Pvt. Ltd","298","SBR Telecom Pvt. Ltd","4153","socks4","4897","1","2023-08-15T10:41:05.725Z","100","3403","3409"
"203.30.190.93","elite","AS209242","US","Cloudflare London","18","Umpire Associates LTD","80","socks4","4509","1","2023-08-15T10:41:05.727Z","100","3431","3432"
"137.220.61.187","elite","AS20473","US","The Constant Company","98","Vultr Holdings, LLC","10024","socks4","70","1","2023-08-15T10:41:05.729Z","95","3207","3383"
"103.48.58.213","elite","AS58678","IN","SHRIGANESH","200","N/A","8080","socks4","4401","1","2023-08-15T10:41:05.725Z","100","3346","3359"
"178.158.197.147","elite","AS43139","UA","Maximum-Net LLC","51","Maximum-Net LLC","3629","socks4","3298","1","2023-08-15T10:41:05.728Z","88","2981","3394"
"104.238.96.101","elite","AS26496","US","GoDaddy.com, LLC","143","GoDaddy.com, LLC","31212","socks5","4800","1","2023-08-15T10:40:52.515Z","99","3318","3368"
"85.198.151.178","elite","AS6702","UA","Science Production Company \"Trifle\" Ltd.","47","Apex","1080","socks4","4309","3","2023-08-15T10:40:52.512Z","98","3284","3337"
"149.28.122.98","elite","AS20473","US","The Constant Company","99","Vultr Holdings, LLC","46560","socks5","3783","2","2023-08-15T10:40:52.511Z","85","2798","3285"
"45.7.177.223","elite","AS266626","BR","Litoral Telecom","186","Litoral Telecom","39867","socks4","4300","1","2023-08-15T10:40:52.515Z","99","3330","3364"
"41.57.108.247","elite","AS36866","KE","Jamii Telecommunications Limited","195","FAIBA","10801","socks4","4606","85","2023-08-15T10:40:52.515Z","87","2997","3426"
"173.82.45.77","elite","AS35916","US","Multacom Corporation","187","Multacom Corporation","36538","socks4","5094","1","2023-08-15T10:40:39.604Z","94","3194","3407"
"27.151.158.223","elite","AS4134","CN","Chinanet","220","Chinanet FJ","2829","socks4","4689","1","2023-08-15T10:40:39.603Z","16","526","3332"
"103.47.93.214","elite","AS134058","IN","Broban Internet Services Pvt.ltd","176","Broban  PVT Ltd.","1080","socks4","2691","1","2023-08-15T10:40:39.606Z","99","3387","3424"
"154.79.249.72","elite","AS36926","KE","Airtel KE Mobile & Fixed Internet","291","N/A","5678","socks4","2010","1","2023-08-15T10:40:39.602Z","76","2590","3429"
"190.63.174.18","elite","AS23487","EC","CONECEL","194","CONECEL","5678","socks4","4612","2","2023-08-15T10:40:39.601Z","100","3381","3395"
"117.26.41.106","elite","AS4134","CN","Chinanet","296","Chinanet FJ","2829","socks4","1999","1","2023-08-15T10:40:29.253Z","35","1179","3352"
"103.47.93.233","elite","AS134058","IN","Broban Internet Services Pvt.ltd","140","Broban  PVT Ltd.","1080","socks4","4900","1","2023-08-15T10:40:29.247Z","99","3418","3438"
"82.97.201.52","elite","AS29076","RU","Citytelecom LLC","89","Citytelecom LLC","5678","socks4","5015","9","2023-08-15T10:40:27.012Z","99","3350","3381"
"212.50.78.202","elite","AS34754","BG","Telnet Limited Liaskovec","107","N/A","5678","socks4","3995","79","2023-08-15T10:40:27.011Z","100","3336","3340"
"117.158.175.21","elite","AS24445","CN","China Mobile communications corporation","206","China Mobile","7302","socks5","4399","1","2023-08-15T10:40:26.926Z","78","2602","3348"
"203.114.65.85","elite","AS7611","PH","W Network Inc.","197","W NETWORK Inc","1337","socks4","4315","2","2023-08-15T10:40:26.916Z","99","3339","3382"
"45.126.169.193","elite","AS134014","IN","NET 4 U SERVICES PVT LTD","192","NET 4 U Services PVT LTD","4145","socks4","3139","1","2023-08-15T10:40:26.917Z","99","3368","3389"
"179.107.53.54","elite","AS263284","BR","Topmega Internet e InformÔtica LTDA -ME","476","Topmega Internet e Informática LTDA -ME","4153","socks4","4787","84","2023-08-15T10:40:26.936Z","92","3121","3387"
"223.19.7.186","elite","AS9304","HK","HGC Global Communications Limited","199","HGC Global Communications Limited","8118","socks4","4294","1","2023-08-15T10:40:26.929Z","87","2938","3383"
"149.202.27.17","elite","AS16276","FR","OVH SAS","89","Vova Kuchkovskiy","16379","socks4","1500","1","2023-08-15T10:40:23.637Z","99","3421","3453"
"67.43.42.117","elite","AS20473","US","The Constant Company, LLC","80","IPXO","8080","socks4","243","1","2023-08-15T10:40:23.441Z","100","3344","3347"
"37.221.192.104","elite","AS197540","DE","netcup GmbH","21","NETCUP-GMBH","7497","socks5","4497","1","2023-08-15T10:40:23.636Z","100","3344","3357"
"66.33.213.95","elite","AS26347","US","New Dream Network, LLC","85","New Dream Network, LLC","6285","socks4","4894","2","2023-08-15T10:40:23.443Z","100","3424","3433"
"110.78.148.87","elite","AS131090","TH","CAT-BB","204","N/A","4145","socks4","4698","2","2023-08-15T10:40:23.440Z","73","2446","3345"
"187.210.68.101","elite","AS8151","MX","Uninet S.A. de C.V.","174","UNINET","7497","socks5","2102","1","2023-08-15T10:40:23.444Z","93","3123","3354"
"8.39.228.129","elite","AS3356","US","Level 3 Communications, Inc.","126","Level 3, LLC","39593","socks4","4704","1","2023-08-15T10:40:17.745Z","99","3407","3436"
"51.83.133.132","elite","AS16276","PL","OVH SAS","27","OVH Sp. z o. o","22027","socks5","4504","1","2023-08-15T10:40:17.846Z","100","3364","3364"
"177.125.206.169","elite","AS262346","BR","FP Telecomunicacoes Ltda","201","FP Telecomunicacoes Ltda","4145","socks4","4099","1","2023-08-15T10:40:17.747Z","70","2363","3352"
"109.73.180.61","elite","AS49924","IT","ECROM-MAIN","61","N/A","4145","socks4","4797","1","2023-08-15T10:40:17.933Z","59","1962","3323"
"185.247.226.94","elite","AS200651","GB","Flokinet Ltd","51","Flokinet Ltd","16049","socks5","5100","1","2023-08-15T10:40:17.753Z","86","2951","3426"
"114.99.14.138","elite","AS4134","CN","Chinanet","211","Chinanet AH","8004","socks5","5108","1","2023-08-15T10:40:17.751Z","52","1793","3429"
"171.232.74.46","elite","AS7552","VN","Viettel Corporation","296","VIETEL","4005","socks4","3711","1","2023-08-15T10:40:17.835Z","91","3028","3326"
"139.59.58.141","elite","AS14061","IN","DigitalOcean","195","DigitalOcean, LLC","7497","socks5","4506","2","2023-08-15T10:40:17.833Z","89","2944","3320"
"222.129.39.224","elite","AS4808","CN","China Unicom Beijing Province Network","257","N/A","4145","socks4","1096","1","2023-08-15T10:40:17.754Z","52","1734","3356"
"84.241.25.151","elite","AS31549","IR","SHATEL Network","180","Arya Rasana Tadbir Co.","80","socks4","4800","1","2023-08-15T10:40:13.106Z","88","2962","3349"
"175.101.18.25","elite","AS17754","IN","ExcellMedia Pvt Ltd","149","Excell Media Pvt Ltd","5678","socks4","4404","1","2023-08-15T10:40:13.102Z","100","3377","3385"
"188.114.98.25","elite","AS13335","NL","Cloudflare, Inc.","2","CloudFlare, Inc.","443","socks4","4696","1","2023-08-15T10:40:13.107Z","100","3332","3332"
"203.150.145.95","elite","AS4618","TH","Internet Thailand Company Ltd","215","INEXT Broadband Company Limited","8080","socks5","4412","1","2023-08-15T10:40:13.103Z","100","3323","3330"
"194.87.58.16","elite","AS208685","NL","Serverius Holding B.V.","12","VictoryWillbeours","80","socks4","790","83","2023-08-15T10:40:13.100Z","100","3368","3368"
"143.244.184.250","elite","AS14061","US","DigitalOcean, LLC","186","DigitalOcean, LLC","37237","socks4","2304","1","2023-08-15T10:40:12.342Z","100","3407","3408"
"102.66.232.126","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","374","Herotel","5678","socks4","2712","2","2023-08-15T10:40:12.250Z","47","1554","3339"
"180.246.62.222","elite","AS7713","ID","PT. TELKOM INDONESIA","198","N/A","8080","socks4","4901","1","2023-08-15T10:40:12.249Z","82","2741","3334"
"186.211.110.178","elite","AS53062","BR","Ggnet Telecom Backbone","291","Ggnet Telecom Backbone","32346","socks4","1991","1","2023-08-15T10:40:06.646Z","96","3251","3383"
"45.7.210.197","elite","AS265729","AR","Cooperativa de Servicios Públicos de Porteña LTDA","285","Cooperativa de Servicios Públicos de Porteña LTDA","4153","socks4","2609","1","2023-08-15T10:40:06.645Z","99","3364","3393"
"167.99.12.224","elite","AS14061","US","DigitalOcean, LLC","85","Digital Ocean","49463","socks4","4797","1","2023-08-15T10:40:06.736Z","100","3401","3403"
"103.47.93.248","elite","AS134058","IN","Broban Internet Services Pvt.ltd","195","Broban  PVT Ltd.","1080","socks4","4795","1","2023-08-15T10:40:06.641Z","99","3359","3389"
"101.109.80.117","elite","AS23969","TH","TOT Public Company Limited","191","TOT Public Company Limited","4145","socks4","3793","1","2023-08-15T10:40:06.639Z","47","1612","3409"
"51.38.99.136","elite","AS16276","DE","OVH SAS","11","OVH GmbH","3128","socks4","5002","1","2023-08-15T10:40:06.734Z","100","3438","3438"
"217.66.196.171","elite","AS24631","IR","Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS","139","Fanaptelecom Network","5678","socks5","4806","1","2023-08-15T10:40:06.644Z","93","3051","3280"
"139.60.183.10","elite","AS14979","PR","Aeronet Wireless","197","Aeronet Wireless","4153","socks4","4389","1","2023-08-15T10:40:00.944Z","97","3301","3408"
"216.80.120.100","elite","AS6079","US","RCN","200","RCN Corporation","3820","socks5","4797","1","2023-08-15T10:40:00.943Z","99","3357","3389"
"45.7.177.206","elite","AS266626","BR","Litoral Telecom","186","Litoral Telecom","39867","socks4","4201","82","2023-08-15T10:40:00.848Z","99","3381","3409"
"68.183.221.156","elite","AS14061","DE","DigitalOcean, LLC","95","DigitalOcean, LLC","34297","socks4","4403","1","2023-08-15T10:40:00.936Z","100","3387","3388"
"185.89.156.130","elite","AS198279","AL","ATU","98","N/A","5678","socks4","4994","1","2023-08-15T10:40:00.851Z","99","3336","3356"
"143.244.149.59","elite","AS14061","US","DigitalOcean, LLC","83","DigitalOcean, LLC","35887","socks5","5488","1","2023-08-15T10:39:59.116Z","100","3339","3349"
"38.127.172.115","elite","AS174","US","Cogent Communications","84","Torlandia Trading SRL","11537","socks4","4884","1","2023-08-15T10:39:59.117Z","100","3351","3361"
"119.18.157.197","elite","AS55685","ID","PT. Jala Lintas Media","193","N/A","4145","socks4","5009","2","2023-08-15T10:39:59.105Z","99","3414","3437"
"1.2.214.8","elite","AS23969","TH","TOT Public Company Limited","149","TOT Public Company Limited","4145","socks4","4982","1","2023-08-15T10:39:59.100Z","71","2420","3430"
"120.46.155.74","elite","AS55990","CN","Huawei Cloud Service data center","196","Huawei Cloud Service","7890","socks4","4404","76","2023-08-15T10:39:59.104Z","57","1906","3343"
"41.223.108.13","elite","AS328250","SO","Golis Telecom Somalia","82","ISP","1080","socks4","3793","1","2023-08-15T10:39:59.105Z","99","3388","3414"
"139.59.84.117","elite","AS14061","IN","DigitalOcean","194","DigitalOcean, LLC","52125","socks4","5000","1","2023-08-15T10:39:59.103Z","57","1867","3287"
"196.44.181.37","elite","AS31856","ZW","YoAHRE-MAIN","194","N/A","5678","socks4","4898","1","2023-08-15T10:39:59.101Z","97","3313","3430"
"50.84.210.194","elite","AS11427","US","Charter Communications Inc","191","Spectrum","39593","socks4","2498","1","2023-08-15T10:39:55.336Z","99","3290","3309"
"102.66.237.55","elite","AS328471","ZA","HERO TELECOMS (PTY) LTD","207","Herotel","5678","socks4","4987","1","2023-08-15T10:39:55.337Z","61","1997","3296"
"175.101.251.164","elite","AS135203","IN","Excell Media Pvt Ltd","138","ExcellMedia Pvt Ltd","7497","socks5","4508","1","2023-08-15T10:39:55.339Z","98","3265","3337"
"194.36.98.231","elite","AS203020","PT","HostRoyale Technologies Pvt Ltd","32","In Hostroyale","80","socks4","4802","1","2023-08-15T10:39:55.338Z","100","3377","3380"
"104.21.85.200","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4893","82","2023-08-15T10:39:55.333Z","100","3412","3412"
"85.222.67.66","elite","AS6830","PL","ASTER Sp. z o.o.","101","Aster Sp. z o.o.","5678","socks4","4509","1","2023-08-15T10:39:55.350Z","100","3375","3386"
"180.183.64.159","elite","AS45629","TH","Triple T Broadband Public Company Limited","159","Triple T Broadband Public Company Limited","5678","socks4","4901","1","2023-08-15T10:39:49.746Z","91","3031","3343"
"104.17.62.87","elite","AS13335","CA","Cloudflare, Inc.","2","Cloudflare, Inc","80","socks5","4607","1","2023-08-15T10:39:49.836Z","100","3312","3312"
"87.197.136.58","elite","AS6855","SK","Slovak Telecom AS6855","29","Slovak Telekom, a.s.","4153","socks4","4599","1","2023-08-15T10:39:49.934Z","100","3441","3448"
"93.171.224.47","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","100","PE TV and Radio Company Kentavr-TV","21157","socks5","4106","1","2023-08-15T10:39:49.937Z","99","3368","3391"
"54.39.102.233","elite","AS16276","CA","OVH SAS","96","OVH Hosting, Inc.","8080","socks4","4609","1","2023-08-15T10:39:49.935Z","100","3285","3285"
"118.173.197.241","elite","AS23969","TH","TOT Public Company Limited","196","TOT Public Company Limited","4145","socks4","435","1","2023-08-15T10:39:49.834Z","99","3389","3415"
"186.251.255.149","elite","AS267513","BR","Seanet Telecom Carazinho Eireli","217","Seanet Telecom Carazinho Eireli","31337","socks4","4810","1","2023-08-15T10:39:49.835Z","99","3325","3352"
"195.138.65.34","elite","AS6876","UA","TENET Scientific Production Enterprise LLC","52","Tenet","5678","socks4","3704","1","2023-08-15T10:39:49.841Z","98","3276","3345"
"180.183.121.6","elite","AS45629","TH","Triple T Broadband Public Company Limited","163","Triple T Broadband Public Company Limited","5678","socks4","3997","1","2023-08-15T10:39:46.411Z","93","3052","3290"
"1.20.220.79","elite","AS23969","TH","TOT Public Company Limited","154","TOT Mobile Co LTD","4145","socks4","68","1","2023-08-15T10:39:46.412Z","89","3041","3436"
"45.77.111.135","elite","AS20473","US","The Constant Company","87","Vultr Holdings, LLC","15082","socks5","5100","1","2023-08-15T10:39:46.413Z","100","3410","3410"
"149.20.253.40","elite","AS18615","US","Mainstream Fiber Networks, LLC","100","Mainstream Fiber Networks, LLC","12551","socks4","4002","1","2023-08-15T10:39:46.504Z","100","3336","3343"
"185.171.54.34","elite","AS44285","IR","Shahrad","183","N/A","4153","socks4","3497","1","2023-08-15T10:39:46.412Z","95","3232","3415"
"138.36.150.12","elite","AS263729","AR","Pedraza Luis Eduardo","254","Pedraza Luis Eduardo","1080","socks4","1892","2","2023-08-15T10:39:46.411Z","99","3372","3412"
"114.99.10.131","elite","AS4134","CN","Chinanet","290","Chinanet AH","8004","socks4","2990","3","2023-08-15T10:39:46.413Z","56","1876","3374"
"91.220.69.43","elite","AS58096","RU","Viter Evgeniy Vasilevich","60","Viter Evgeniy Vasilevich","3629","socks4","4895","1","2023-08-15T10:39:44.341Z","100","3431","3440"
"200.212.2.73","elite","AS4230","BR","Claro S.A.","251","Claro S.A","61283","socks4","1996","1","2023-08-15T10:39:44.236Z","100","3414","3428"
"185.206.80.227","elite","AS210021","IQ","DIL Technology Limited","99","Diltechnology","10801","socks4","1606","1","2023-08-15T10:39:44.339Z","50","1715","3455"
"103.47.93.194","elite","AS134058","IN","Broban Internet Services Pvt.ltd","185","Broban  PVT Ltd.","1080","socks4","4116","1","2023-08-15T10:39:44.243Z","99","3391","3415"
"36.93.137.146","elite","AS7713","ID","Telekomunikasi Indonesia","205","HSI Indihome","5678","socks4","4807","1","2023-08-15T10:39:44.244Z","99","3305","3344"
"47.49.228.234","elite","AS20115","US","Charter Communications","190","Spectrum","80","socks5","4594","1","2023-08-15T10:39:36.448Z","100","3309","3319"
